song,condition,task,ioi
Because_Of_You,Unmod,NBACK,1145.038168
Thinking_Aloud,Unmod,NBACK,1052.631579
Versace_On_The_Floor,Unmod,NBACK,1237.113402
Just_Give_Me_A_Reason,Mod,NBACK,1027.39726
Wrecking_Ball,Mod,NBACK,1102.941176
Need_You_Now,Mod,NBACK,1153.846154
Hey_There_Delilah,Unmod,SART,1285.714286
Beautiful,Unmod,SART,1139.240506
I_Will_Always_Love_You,Unmod,SART,1034.482759
I_Have_Nothing,Mod,SART,1105.263158
I_Will_Follow_You_Into_The_Dark,Mod,SART,1000
Eye_of_the_Tiger,Mod,SART,972.222222
