song,condition,task,ioi
Because_Of_You,Unmod,SART,1145.038168
Thinking_Aloud,Unmod,SART,1052.631579
Versace_On_The_Floor,Unmod,SART,1237.113402
Just_Give_Me_A_Reason,Mod,SART,1027.39726
Wrecking_Ball,Mod,SART,1102.941176
Need_You_Now,Mod,SART,1153.846154
Hey_There_Delilah,Unmod,NBACK,1285.714286
Beautiful,Unmod,NBACK,1139.240506
I_Will_Always_Love_You,Unmod,NBACK,1034.482759
I_Have_Nothing,Mod,NBACK,1105.263158
I_Will_Follow_You_Into_The_Dark,Mod,NBACK,1000
Eye_of_the_Tiger,Mod,NBACK,972.222222
